id_horario;horario;id_pelicula
0;9:15:00;11
1;10:30:00;18
2;11:45:00;30
3;12:00:00;20
4;13:00:00;11
5;14:15:00;19
6;15:30:00;14
7;16:45:00;34
8;18:00:00;20
9;19:15:00;4
10;20:30:00;24
11;21:00:00;16
12;22:15:00;12
13;23:30:00;15
14;0:45:00;4
15;1:00:00;12
16;9:15:00;3
17;11:45:00;0
18;14:15:00;26
19;16:45:00;12
20;18:00:00;18
21;12:00:00;24
22;9:15:00;28
23;22:15:00;13
24;14:15:00;34
25;23:30:00;13
26;10:30:00;34
27;16:45:00;28
28;21:00:00;27
29;19:15:00;3
30;11:45:00;29
31;13:00:00;19
32;20:30:00;4
33;15:30:00;19
34;9:15:00;20
35;1:00:00;7
36;16:45:00;25
37;11:45:00;3
38;0:45:00;24
39;23:00:00;16
40;15:30:00;12
41;22:15:00;28
42;11:45:00;11
43;10:30:00;16
44;23:00:00;24
45;12:00:00;25
46;14:15:00;26
47;19:15:00;14
48;9:15:00;19
49;16:45:00;34
50;20:30:00;29
51;13:00:00;3
52;18:00:00;4
53;21:00:00;7
54;9:15:00;21
55;0:45:00;19
56;11:45:00;26
57;1:00:00;7
58;23:30:00;8
59;16:45:00;8
60;16:45:00;6
61;10:30:00;5
62;22:15:00;3
63;18:00:00;14
64;9:15:00;11
65;14:15:00;33
66;23:00:00;25
67;19:15:00;14
68;15:30:00;10
69;11:45:00;22
70;21:00:00;20
71;13:00:00;2
72;20:30:00;14
73;12:00:00;8
74;23:30:00;8
75;9:15:00;28
76;16:45:00;0
77;0:45:00;9
78;11:45:00;2
79;1:00:00;16
80;9:15:00;23
81;10:30:00;21
82;11:45:00;13
83;12:00:00;11
84;13:00:00;6
85;14:15:00;14
86;15:30:00;25
87;16:45:00;9
88;18:00:00;16
89;19:15:00;8
90;20:30:00;25
91;21:00:00;27
92;22:15:00;17
93;23:30:00;16
94;0:45:00;18
95;1:00:00;28
96;9:15:00;27
97;11:45:00;19
98;14:15:00;15
99;16:45:00;13
100;18:00:00;3
101;12:00:00;6
102;9:15:00;9
103;22:15:00;19
104;14:15:00;15
105;23:30:00;27
106;10:30:00;5
107;16:45:00;23
108;21:00:00;31
109;19:15:00;29
110;11:45:00;18
111;13:00:00;8
112;20:30:00;27
113;15:30:00;34
114;9:15:00;9
115;1:00:00;4
116;16:45:00;15
117;11:45:00;4
118;0:45:00;17
119;23:00:00;16
120;15:30:00;21
121;22:15:00;9
122;11:45:00;21
123;10:30:00;9
124;23:00:00;25
125;12:00:00;34
126;14:15:00;9
127;19:15:00;26
128;9:15:00;29
129;16:45:00;32
130;20:30:00;18
131;13:00:00;29
132;18:00:00;17
133;21:00:00;5
134;9:15:00;16
135;0:45:00;18
136;11:45:00;17
137;1:00:00;12
138;23:30:00;13
139;16:45:00;3
140;16:45:00;10
141;10:30:00;32
142;22:15:00;32
143;18:00:00;19
144;9:15:00;0
145;14:15:00;11
146;23:00:00;18
147;19:15:00;20
148;15:30:00;7
149;11:45:00;29
150;21:00:00;11
151;13:00:00;18
152;20:30:00;29
153;12:00:00;6
154;23:30:00;32
155;9:15:00;28
156;16:45:00;2
157;0:45:00;21
158;11:45:00;30
159;1:00:00;5
160;9:15:00;3
161;10:30:00;1
162;11:45:00;33
163;12:00:00;21
164;13:00:00;20
165;14:15:00;24
166;15:30:00;3
167;16:45:00;28
168;18:00:00;19
169;19:15:00;10
170;20:30:00;16
171;21:00:00;29
172;22:15:00;23
173;23:30:00;29
174;0:45:00;24
175;1:00:00;21
176;9:15:00;10
177;11:45:00;14
178;14:15:00;31
179;16:45:00;9
180;18:00:00;12
181;12:00:00;3
182;9:15:00;7
183;22:15:00;11
184;14:15:00;26
185;23:30:00;4
186;10:30:00;2
187;16:45:00;4
188;21:00:00;4
189;19:15:00;19
190;11:45:00;28
191;13:00:00;10
192;20:30:00;17
193;15:30:00;15
194;9:15:00;13
195;1:00:00;21
196;16:45:00;32
197;11:45:00;31
198;0:45:00;13
199;23:00:00;2
200;15:30:00;17
201;22:15:00;18
202;11:45:00;30
203;10:30:00;20
204;23:00:00;14
205;12:00:00;10
206;14:15:00;12
207;19:15:00;29
208;9:15:00;12
209;16:45:00;28
210;20:30:00;26
211;13:00:00;23
212;18:00:00;33
213;21:00:00;3
214;9:15:00;13
215;0:45:00;32
216;11:45:00;8
217;1:00:00;34
218;23:30:00;3
219;16:45:00;32
220;16:45:00;29
221;10:30:00;4
222;22:15:00;25
223;18:00:00;5
224;9:15:00;27
225;14:15:00;7
226;23:00:00;6
227;19:15:00;21
228;15:30:00;3
229;11:45:00;26
230;21:00:00;24
231;13:00:00;25
232;20:30:00;28
233;12:00:00;22
234;23:30:00;11
235;9:15:00;3
236;16:45:00;1
237;0:45:00;14
238;11:45:00;32
239;1:00:00;20
240;9:15:00;3
241;10:30:00;11
242;11:45:00;22
243;12:00:00;3
244;13:00:00;32
245;14:15:00;25
246;15:30:00;5
247;16:45:00;12
248;18:00:00;26
249;19:15:00;19
250;20:30:00;18
251;21:00:00;18
252;22:15:00;27
253;23:30:00;5
254;0:45:00;0
255;1:00:00;25
256;9:15:00;17
257;11:45:00;34
258;14:15:00;14
259;16:45:00;26
260;18:00:00;15
261;12:00:00;17
262;9:15:00;2
263;22:15:00;30
264;14:15:00;26
265;23:30:00;21
266;10:30:00;16
267;16:45:00;34
268;21:00:00;26
269;19:15:00;20
270;11:45:00;32
271;13:00:00;28
272;20:30:00;16
273;15:30:00;31
274;9:15:00;4
275;1:00:00;13
276;16:45:00;8
277;11:45:00;23
278;0:45:00;14
279;23:00:00;19
280;15:30:00;22
281;22:15:00;29
282;11:45:00;30
283;10:30:00;27
284;23:00:00;31
285;12:00:00;0
286;14:15:00;12
287;19:15:00;17
288;9:15:00;31
289;16:45:00;9
290;20:30:00;10
291;13:00:00;10
292;18:00:00;16
293;21:00:00;28
294;9:15:00;4
295;0:45:00;13
296;11:45:00;25
297;1:00:00;2
298;23:30:00;15
299;16:45:00;4
300;16:45:00;26
301;10:30:00;12
302;22:15:00;11
303;18:00:00;30
304;9:15:00;31
305;14:15:00;14
306;23:00:00;9
307;19:15:00;24
308;15:30:00;22
309;11:45:00;15
310;21:00:00;29
311;13:00:00;19
312;20:30:00;25
313;12:00:00;13
314;23:30:00;31
315;9:15:00;33
316;16:45:00;27
317;0:45:00;2
318;11:45:00;31
319;1:00:00;0
320;9:15:00;23
